Begin Time - hh:mm:ss.ms	Begin Time - ss.msec	End Time - hh:mm:ss.ms	End Time - ss.msec	Support Foot	Spin	Rotation	Edge	File
00:02:40.327	160.327	00:02:41.872	161.872	Left [a39]	UL [a26]			32.eaf
00:02:41.872	161.872	00:02:43.459	163.459		Step Out [a27]			32.eaf
00:00:55.755	55.755	00:00:57.111	57.111		Jump In [a1]			24.eaf
00:00:57.111	57.111	00:00:57.348	57.348		Trans [a2]			24.eaf
00:00:57.348	57.348	00:00:59.138	59.138	Left [a31]	SS [a3]			24.eaf
00:00:59.138	59.138	00:00:59.736	59.736		Trans [a4]			24.eaf
00:00:59.736	59.736	00:01:03.074	63.074	Left [a32]	SB [a5]			24.eaf
00:01:03.074	63.074	00:01:03.787	63.787		Step Out [a6]			24.eaf
00:02:03.811	123.811	00:02:06.890	126.89		Difficult In [a7]			24.eaf
00:02:06.890	126.89	00:02:09.076	129.076	Left [a33]	BC [a9]	CCW [a45]	Inside [a48]	24.eaf
00:02:09.076	129.076	00:02:11.575	131.575	Left [a34]	BC [a8]	CCW [a46]	Outside [a49]	24.eaf
00:02:11.575	131.575	00:02:12.326	132.326		Trans [a10]			24.eaf
00:02:12.326	132.326	00:02:14.742	134.742	Left [a35]	CF [a11]	CCW [a47]		24.eaf
00:02:14.742	134.742	00:02:16.090	136.09		CP [a12]			24.eaf
00:02:16.090	136.09	00:02:17.039	137.039	Right [a36]	BC [a13]			24.eaf
00:02:17.039	137.039	00:02:19.339	139.339	Right [a37]	CU [a14]			24.eaf
00:02:19.339	139.339	00:02:20.167	140.167		Trans [a15]			24.eaf
00:02:20.167	140.167	00:02:22.783	142.783	Right [a38]	CS [a16]			24.eaf
00:02:22.783	142.783	00:02:24.132	144.132		Step Out [a17]			24.eaf
00:02:28.791	148.791	00:02:29.703	149.703		Step In [a18]			24.eaf
00:02:29.703	149.703	00:02:30.179	150.179		Trans [a19]			24.eaf
00:02:30.179	150.179	00:02:31.844	151.844	Left [a39]	SF [a20]			24.eaf
00:02:31.844	151.844	00:02:32.596	152.596		Trans [a21]			24.eaf
00:02:32.596	152.596	00:02:34.779	154.779	Left [a40]	Other-NBP [a22]			24.eaf
00:02:34.779	154.779	00:02:35.093	155.093		Trans [a23]			24.eaf
00:02:35.093	155.093	00:02:35.688	155.688	Right [a41]	CP [a24]			24.eaf
00:02:35.688	155.688	00:02:38.026	158.026	Right [a42]	BC [a25]			24.eaf
00:02:38.026	158.026	00:02:38.900	158.9		Trans [a26]			24.eaf
00:02:38.900	158.9	00:02:40.209	160.209	Right [a43]	BS [a27]			24.eaf
00:02:40.209	160.209	00:02:41.435	161.435		Trans [a28]			24.eaf
00:02:41.435	161.435	00:02:43.261	163.261	Right [a44]	BU [a29]			24.eaf
00:02:43.261	163.261	00:02:44.492	164.492		Step Out [a30]			24.eaf
00:00:56.571	56.571	00:00:58.718	58.718		Jump In [a1]			30.eaf
00:00:58.718	58.718	00:01:00.568	60.568	Right [a27]	BC [a2]		Outside [a38]	30.eaf
00:01:00.568	60.568	00:01:03.574	63.574	Right [a28]	CU [a3]		Inside [a39]	30.eaf
00:01:03.574	63.574	00:01:04.733	64.733		Trans [a4]			30.eaf
00:01:04.733	64.733	00:01:06.649	66.649	Right [a29]	CS [a5]			30.eaf
00:01:06.649	66.649	00:01:08.609	68.609		Step Out [a6]			30.eaf
00:01:33.869	93.869	00:01:35.469	95.469		Difficult In [a7]			30.eaf
00:01:35.469	95.469	00:01:36.349	96.349		Trans [a8]			30.eaf
00:01:36.349	96.349	00:01:38.987	98.987	Right [a30]	SF [a9]			30.eaf
00:01:38.987	98.987	00:01:39.947	99.947		CP [a10]			30.eaf
00:01:39.947	99.947	00:01:44.184	104.184	Left [a31]	SS [a11]			30.eaf
00:01:44.184	104.184	00:01:46.144	106.144		Step Out [a12]			30.eaf
00:02:27.548	147.548	00:02:29.255	149.255		Jump In [a13]			30.eaf
00:02:29.255	149.255	00:02:29.929	149.929		Trans [a14]			30.eaf
00:02:29.929	149.929	00:02:31.436	151.436	Left [a32]	BC [a15]			30.eaf
00:02:31.436	151.436	00:02:32.269	152.269		Trans [a16]			30.eaf
00:02:32.269	152.269	00:02:34.372	154.372	Left [a33]	SB [a17]			30.eaf
00:02:34.372	154.372	00:02:34.888	154.888		Trans [a18]			30.eaf
00:02:34.888	154.888	00:02:36.354	156.354	Left [a34]	UF [a19]			30.eaf
00:02:36.354	156.354	00:02:37.600	157.6		CP [a20]			30.eaf
00:02:37.600	157.6	00:02:37.875	157.875	Right [a35]	Trans [a21]			30.eaf
00:02:37.875	157.875	00:02:37.880	157.88		Other-NBP [a22]			30.eaf
00:02:37.880	157.88	00:02:40.021	160.021	Right [a36]	Other-NBP [a23]			30.eaf
00:02:40.021	160.021	00:02:41.236	161.236		Trans [a24]			30.eaf
00:02:41.236	161.236	00:02:45.597	165.597	Right [a37]	BU [a25]			30.eaf
00:02:45.597	165.597	00:02:46.946	166.946		Step Out [a26]			30.eaf
00:00:52.008	52.008	00:00:53.950	53.95		Step In [a1]		 [a45]	18.eaf
00:00:53.950	53.95	00:00:54.586	54.586		Trans [a2]			18.eaf
00:00:54.586	54.586	00:00:56.258	56.258	Left [a31]	BS [a3]			18.eaf
00:00:56.258	56.258	00:00:56.934	56.934		Trans [a4]			18.eaf
00:00:56.934	56.934	00:00:58.843	58.843	Left [a32]	UF [a5]			18.eaf
00:00:58.843	58.843	00:00:59.718	59.718		CP [a6]			18.eaf
00:00:59.718	59.718	00:01:01.706	61.706	Right [a33]	BC [a7]			18.eaf
00:01:01.706	61.706	00:01:02.617	62.617		Trans [a8]			18.eaf
00:01:02.617	62.617	00:01:04.528	64.528	Right [a34]	Other-NBP [a9]			18.eaf
00:01:04.528	64.528	00:01:05.245	65.245		Trans [a10]			18.eaf
00:01:05.245	65.245	00:01:07.759	67.759		US [a11]			18.eaf
00:01:07.759	67.759	00:01:08.479	68.479		Step Out [a12]			18.eaf
00:01:31.144	91.144	00:01:32.820	92.82		Difficult In [a13]			18.eaf
00:01:32.820	92.82	00:01:33.780	93.78		JCP [a14]			18.eaf
00:01:33.780	93.78	00:01:35.776	95.776	Right [a35]	BC [a15]	CCW [a44]	Outside [a46]	18.eaf
00:01:35.776	95.776	00:01:38.454	98.454	Right [a36]	BC [a16]		Inside [a47]	18.eaf
00:01:38.454	98.454	00:01:40.294	100.294		Trans [a17]			18.eaf
00:01:40.294	100.294	00:01:42.490	102.49	Right [a37]	CF [a18]			18.eaf
00:01:42.490	102.49	00:01:45.250	105.25	Right [a38]	CS [a19]			18.eaf
00:01:45.250	105.25	00:01:46.930	106.93		Step Out [a20]			18.eaf
00:02:28.331	148.331	00:02:29.124	149.124		Step In [a21]			18.eaf
00:02:29.124	149.124	00:02:29.838	149.838		Trans [a22]			18.eaf
00:02:29.838	149.838	00:02:34.639	154.639	Left [a39]	SF [a23]			18.eaf
00:02:34.639	154.639	00:02:35.513	155.513	Left [a40]	Trans [a24]			18.eaf
00:02:35.513	155.513	00:02:36.108	156.108		JCP [a25]			18.eaf
00:02:36.108	156.108	00:02:36.743	156.743	Right [a41]	Trans [a26]			18.eaf
00:02:36.743	156.743	00:02:37.695	157.695	Right [a42]	BS [a27]			18.eaf
00:02:37.695	157.695	00:02:39.131	159.131		Trans [a28]			18.eaf
00:02:39.131	159.131	00:02:41.153	161.153	Right [a43]	SB [a29]			18.eaf
00:02:41.153	161.153	00:02:42.422	162.422		Step Out [a30]			18.eaf
00:00:58.998	58.998	00:01:01.263	61.263		Difficult In [a1]			19.eaf
00:01:01.263	61.263	00:01:03.806	63.806	Left [a32]	BC [a2]		Outside [a45]	19.eaf
00:01:03.806	63.806	00:01:06.804	66.804	Left [a33]	BC [a3]		Inside [a46]	19.eaf
00:01:06.804	66.804	00:01:07.884	67.884		CP [a4]			19.eaf
00:01:07.884	67.884	00:01:09.124	69.124	Right [a34]	BC [a5]			19.eaf
00:01:09.124	69.124	00:01:11.202	71.202	Right [a35]	CU [a6]			19.eaf
00:01:11.202	71.202	00:01:13.082	73.082		Trans [a7]			19.eaf
00:01:13.082	73.082	00:01:15.236	75.236	Right [a36]	CF [a8]			19.eaf
00:01:15.236	75.236	00:01:16.516	76.516		Step Out [a9]			19.eaf
00:01:17.573	77.573	00:01:21.773	81.773		Difficult In [a10]			19.eaf
00:01:21.773	81.773	00:01:22.613	82.613		Jump In [a11]			19.eaf
00:01:22.613	82.613	00:01:23.333	83.333		Trans [a12]			19.eaf
00:01:23.333	83.333	00:01:28.853	88.853	Left [a37]	SF [a13]			19.eaf
00:01:28.853	88.853	00:01:29.773	89.773		Trans [a14]			19.eaf
00:01:29.773	89.773	00:01:31.169	91.169	Left [a38]	SB [a15]			19.eaf
00:01:31.169	91.169	00:01:32.929	92.929		Step Out [a16]			19.eaf
00:02:36.736	156.736	00:02:37.648	157.648		Step In [a17]			19.eaf
00:02:37.648	157.648	00:02:38.045	158.045		Trans [a18]			19.eaf
00:02:38.045	158.045	00:02:40.345	160.345	Left [a39]	BC [a19]			19.eaf
00:02:40.345	160.345	00:02:41.297	161.297		JCP [a20]			19.eaf
00:02:41.297	161.297	00:02:41.771	161.771	Left [a40]	Trans [a21]			19.eaf
00:02:41.771	161.771	00:02:43.397	163.397	Left [a41]	BS [a22]			19.eaf
00:02:43.397	163.397	00:02:44.230	164.23		Trans [a23]			19.eaf
00:02:44.230	164.23	00:02:45.775	165.775	Left [a42]	Other-NBP [a24]			19.eaf
00:02:45.775	165.775	00:02:47.481	167.481		CP [a25]			19.eaf
00:02:47.481	167.481	00:02:49.781	169.781	Right [a43]	BC [a26]			19.eaf
00:02:49.781	169.781	00:02:50.694	170.694		Trans [a27]			19.eaf
00:02:50.694	170.694	00:02:52.678	172.678	Right [a44]	BS [a28]			19.eaf
00:02:52.680	172.68	00:02:54.147	174.147		Trans [a29]			19.eaf
00:02:54.147	174.147	00:02:56.249	176.249		US [a30]			19.eaf
00:02:56.249	176.249	00:02:57.400	177.4		Step Out [a31]			19.eaf
00:00:58.742	58.742	00:00:59.775	59.775		Jump In [a1]			31.eaf
00:00:59.775	59.775	00:01:00.293	60.293		Trans [a2]			31.eaf
00:01:00.293	60.293	00:01:01.643	61.643	Left [a28]	SF [a3]			31.eaf
00:01:01.643	61.643	00:01:02.758	62.758		JCP [a4]			31.eaf
00:01:02.758	62.758	00:01:03.315	63.315	Left [a29]	Trans [a5]			31.eaf
00:01:03.315	63.315	00:01:05.310	65.31	Left [a30]	SS [a6]			31.eaf
00:01:05.310	65.31	00:01:06.750	66.75		Step Out [a7]			31.eaf
00:01:09.144	69.144	00:01:12.184	72.184		Difficult In [a8]			31.eaf
00:01:12.184	72.184	00:01:12.580	72.58		Trans [a9]			31.eaf
00:01:12.580	72.58	00:01:14.697	74.697	Left [a31]	Other-NBP [a10]			31.eaf
00:01:14.697	74.697	00:01:14.973	74.973		Trans [a11]			31.eaf
00:01:14.973	74.973	00:01:16.409	76.409	Left [a32]	US [a12]			31.eaf
00:01:16.409	76.409	00:01:17.329	77.329		CP [a13]			31.eaf
00:01:17.329	77.329	00:01:19.368	79.368	Right [a33]	BC [a14]			31.eaf
00:01:19.368	79.368	00:01:20.157	80.157		Trans [a15]			31.eaf
00:01:20.157	80.157	00:01:21.714	81.714	Right [a34]	SB [a16]			31.eaf
00:01:21.714	81.714	00:01:22.914	82.914		Trans [a17]			31.eaf
00:01:22.914	82.914	00:01:24.791	84.791	Right [a35]	BU [a18]			31.eaf
00:01:24.791	84.791	00:01:25.634	85.634		Step Out [a19]			31.eaf
00:01:49.792	109.792	00:01:50.632	110.632		Step In [a20]			31.eaf
00:01:50.632	110.632	00:01:52.506	112.506	Left [a36]	BC [a21]		Outside [a40]	31.eaf
00:01:52.506	112.506	00:01:54.663	114.663	Left [a37]	BC [a22]		Inside [a41]	31.eaf
00:01:54.663	114.663	00:01:55.743	115.743		CP [a23]			31.eaf
00:01:55.743	115.743	00:01:56.263	116.263	Right [a38]	BC [a24]			31.eaf
00:01:56.263	116.263	00:01:57.903	117.903		Trans [a25]			31.eaf
00:01:57.903	117.903	00:02:04.619	124.619	Right [a39]	UB [a26]			31.eaf
00:02:04.619	124.619	00:02:05.459	125.459		Step Out [a27]			31.eaf
00:00:49.755	49.755	00:00:52.303	52.303		Difficult In [a1]			25.eaf
00:00:52.303	52.303	00:00:52.855	52.855		Trans [a2]			25.eaf
00:00:52.860	52.86	00:00:56.154	56.154	Right [a30]	BC [a3]			25.eaf
00:00:56.154	56.154	00:00:58.224	58.224		CP [a4]			25.eaf
00:00:58.224	58.224	00:00:58.779	58.779	Left [a31]	BC [a5]			25.eaf
00:00:58.779	58.779	00:00:59.495	59.495	Left [a32]	Trans [a6]			25.eaf
00:00:59.500	59.5	00:01:06.567	66.567	Left [a33]	CS [a7]			25.eaf
00:01:06.567	66.567	00:01:08.407	68.407		Step Out [a8]			25.eaf
00:02:24.663	144.663	00:02:26.808	146.808		Jump In [a9]			25.eaf
00:02:26.808	146.808	00:02:27.638	147.638		Trans [a10]			25.eaf
00:02:27.640	147.64	00:02:28.909	148.909	Left [a34]	SF [a11]			25.eaf
00:02:28.909	148.909	00:02:29.424	149.424		Trans [a12]			25.eaf
00:02:29.424	149.424	00:02:31.010	151.01	Left [a35]	SS [a13]			25.eaf
00:02:31.010	151.01	00:02:31.843	151.843		Trans [a14]			25.eaf
00:02:31.843	151.843	00:02:33.150	153.15	Left [a36]	SB [a15]			25.eaf
00:02:33.150	153.15	00:02:33.897	153.897		Step Out [a16]			25.eaf
00:02:37.704	157.704	00:02:38.577	158.577		Difficult In [a17]			25.eaf
00:02:38.577	158.577	00:02:40.280	160.28	Left [a37]	BC [a18]			25.eaf
00:02:40.280	160.28	00:02:40.832	160.832		Trans [a19]			25.eaf
00:02:40.832	160.832	00:02:42.298	162.298	Left [a38]	UF [a20]			25.eaf
00:02:42.298	162.298	00:02:42.775	162.775		Trans [a21]			25.eaf
00:02:42.775	162.775	00:02:44.004	164.004	Left [a39]	BS [a22]			25.eaf
00:02:44.004	164.004	00:02:44.956	164.956		JCP [a23]			25.eaf
00:02:44.956	164.956	00:02:45.273	165.273	Left [a40]	Trans [a24]			25.eaf
00:02:45.273	165.273	00:02:45.983	165.983		CP [a25]			25.eaf
00:02:45.983	165.983	00:02:47.643	167.643	Right [a41]	Other-NBP [a26]			25.eaf
00:02:47.643	167.643	00:02:48.793	168.793		Trans [a27]			25.eaf
00:02:48.793	168.793	00:02:49.980	169.98		US [a28]			25.eaf
00:02:49.980	169.98	00:02:50.694	170.694		Step Out [a29]			25.eaf
00:00:56.934	56.934	00:00:59.878	59.878		Difficult In [a1]			21.eaf
00:00:59.878	59.878	00:01:00.553	60.553		Jump In [a2]			21.eaf
00:01:00.553	60.553	00:01:01.150	61.15		Trans [a3]			21.eaf
00:01:01.150	61.15	00:01:02.806	62.806	Right [a29]	BC [a4]		Outside [a42]	21.eaf
00:01:02.806	62.806	00:01:04.995	64.995	Right [a30]	BC [a5]		Inside [a43]	21.eaf
00:01:04.995	64.995	00:01:06.029	66.029		Trans [a6]			21.eaf
00:01:06.029	66.029	00:01:08.666	68.666	Right [a31]	CS [a7]			21.eaf
00:01:08.666	68.666	00:01:10.386	70.386		Step Out [a8]			21.eaf
00:01:14.188	74.188	00:01:14.788	74.788		Step In [a9]			21.eaf
00:01:14.788	74.788	00:01:15.141	75.141		Trans [a10]			21.eaf
00:01:15.141	75.141	00:01:20.061	80.061	Left [a32]	SS [a11]			21.eaf
00:01:20.061	80.061	00:01:20.617	80.617	Left [a33]	Trans [a12]			21.eaf
00:01:20.617	80.617	00:01:21.217	81.217		JCP [a13]			21.eaf
00:01:21.217	81.217	00:01:21.777	81.777	Right [a34]	Trans [a14]			21.eaf
00:01:21.777	81.777	00:01:26.368	86.368	Right [a35]	Other-NBP [a15]			21.eaf
00:01:26.368	86.368	00:01:27.888	87.888		Step Out [a16]			21.eaf
00:02:30.298	150.298	00:02:31.291	151.291		Step In [a17]			21.eaf
00:02:31.291	151.291	00:02:32.798	152.798	Right [a36]	BC [a18]			21.eaf
00:02:32.798	152.798	00:02:33.831	153.831		Trans [a19]			21.eaf
00:02:33.831	153.831	00:02:35.297	155.297	Right [a37]	Other-NBP [a20]			21.eaf
00:02:35.297	155.297	00:02:36.247	156.247		Trans [a21]			21.eaf
00:02:36.247	156.247	00:02:37.912	157.912	Right [a38]	BU [a22]			21.eaf
00:02:37.912	157.912	00:02:39.539	159.539		CP [a23]			21.eaf
00:02:39.539	159.539	00:02:39.934	159.934	Left [a39]	Trans [a24]			21.eaf
00:02:39.934	159.934	00:02:41.837	161.837	Left [a40]	Other-NBP [a25]			21.eaf
00:02:41.840	161.84	00:02:42.868	162.868		Trans [a26]			21.eaf
00:02:42.870	162.87	00:02:45.805	165.805	Left [a41]	SB [a27]			21.eaf
00:02:45.805	165.805	00:02:47.392	167.392		Step Out [a28]			21.eaf
00:00:53.809	53.809	00:00:54.367	54.367		Step In [a1]			34.eaf
00:00:54.367	54.367	00:00:56.623	56.623	Left [a30]	CU [a2]		Outside [a40]	34.eaf
00:00:56.623	56.623	00:00:58.212	58.212	Left [a31]	CU [a3]		Inside [a41]	34.eaf
00:00:58.214	58.214	00:00:58.728	58.728		Trans [a4]			34.eaf
00:00:58.728	58.728	00:00:59.248	59.248		JCP [a5]			34.eaf
00:00:59.248	59.248	00:01:01.593	61.593		BC [a6]			34.eaf
00:01:01.593	61.593	00:01:02.708	62.708		Trans [a7]			34.eaf
00:01:02.708	62.708	00:01:04.819	64.819		CF [a8]			34.eaf
00:01:04.819	64.819	00:01:06.077	66.077		BU [a9]			34.eaf
00:01:06.077	66.077	00:01:07.797	67.797		Difficult Out [a10]			34.eaf
00:01:36.478	96.478	00:01:37.398	97.398		Jump In [a11]			34.eaf
00:01:37.398	97.398	00:01:38.030	98.03		Trans [a12]			34.eaf
00:01:38.030	98.03	00:01:42.588	102.588	Right [a32]	Other-NBP [a13]			34.eaf
00:01:42.588	102.588	00:01:43.588	103.588		JCP [a14]			34.eaf
00:01:43.588	103.588	00:01:44.188	104.188		Trans [a15]			34.eaf
00:01:44.188	104.188	00:01:45.146	105.146	Right [a33]	BS [a16]			34.eaf
00:01:45.146	105.146	00:01:46.586	106.586		Step Out [a17]			34.eaf
00:02:32.204	152.204	00:02:35.219	155.219		Difficult In [a18]			34.eaf
00:02:35.219	155.219	00:02:37.402	157.402	Right [a34]	BC [a19]			34.eaf
00:02:37.402	157.402	00:02:38.507	158.507		Trans [a20]			34.eaf
00:02:38.507	158.507	00:02:40.491	160.491	Right [a35]	Other-NBP [a21]			34.eaf
00:02:40.491	160.491	00:02:42.102	162.102		CP [a22]			34.eaf
00:02:42.102	162.102	00:02:42.459	162.459	Left [a36]	Trans [a23]			34.eaf
00:02:42.459	162.459	00:02:45.151	165.151	Left [a37]	CU [a24]			34.eaf
00:02:45.151	165.151	00:02:46.343	166.343		Trans [a25]			34.eaf
00:02:46.343	166.343	00:02:47.928	167.928	Left [a38]	SB [a26]			34.eaf
00:02:47.928	167.928	00:02:49.356	169.356		Trans [a27]			34.eaf
00:02:49.356	169.356	00:02:50.466	170.466	Left [a39]	BU [a28]			34.eaf
00:02:50.466	170.466	00:02:51.299	171.299		Step Out [a29]			34.eaf
00:00:56.388	56.388	00:00:57.663	57.663		Jump In [a1]			20.eaf
00:00:57.663	57.663	00:00:57.980	57.98		Trans [a2]			20.eaf
00:00:57.980	57.98	00:00:59.093	59.093	Right [a34]	BC [a3]			20.eaf
00:00:59.093	59.093	00:01:01.001	61.001	Right [a35]	CU [a4]			20.eaf
00:01:01.001	61.001	00:01:02.354	62.354		Trans [a5]			20.eaf
00:01:02.354	62.354	00:01:04.810	64.81	Right [a36]	CS [a6]			20.eaf
00:01:04.810	64.81	00:01:07.964	67.964	Right [a37]	CF [a7]			20.eaf
00:01:07.964	67.964	00:01:10.124	70.124		Step Out [a8]			20.eaf
00:01:27.927	87.927	00:01:29.687	89.687		Difficult In [a9]			20.eaf
00:01:29.687	89.687	00:01:30.758	90.758	Right [a38]	BS [a10]			20.eaf
00:01:30.758	90.758	00:01:31.598	91.598		JCP [a11]			20.eaf
00:01:31.598	91.598	00:01:32.149	92.149	Right [a39]	Trans [a12]			20.eaf
00:01:32.149	92.149	00:01:33.227	93.227	Right [a40]	BS [a13]			20.eaf
00:01:33.227	93.227	00:01:34.307	94.307		CP [a14]			20.eaf
00:01:34.307	94.307	00:01:34.826	94.826	Left [a41]	Trans [a15]			20.eaf
00:01:34.826	94.826	00:01:35.984	95.984	Left [a42]	SS [a16]			20.eaf
00:01:35.984	95.984	00:01:36.610	96.61		Trans [a17]			20.eaf
00:01:36.610	96.61	00:01:38.286	98.286	Left [a43]	SB [a18]			20.eaf
00:01:38.286	98.286	00:01:40.046	100.046		Step Out [a19]			20.eaf
00:02:31.571	151.571	00:02:33.039	153.039		Step In [a20]			20.eaf
00:02:33.039	153.039	00:02:35.301	155.301	Left [a44]	BC [a21]		Outside [a50]	20.eaf
00:02:35.301	155.301	00:02:37.998	157.998	Left [a45]	BC [a22]		Inside [a51]	20.eaf
00:02:37.998	157.998	00:02:38.515	158.515		Trans [a23]			20.eaf
00:02:38.515	158.515	00:02:40.140	160.14	Left [a46]	BU [a24]			20.eaf
00:02:40.140	160.14	00:02:40.787	160.787		Trans [a25]			20.eaf
00:02:40.787	160.787	00:02:41.741	161.741	Left [a47]	UL [a26]			20.eaf
00:02:41.741	161.741	00:02:42.929	162.929		Trans [a27]			20.eaf
00:02:42.929	162.929	00:02:43.843	163.843		CP [a28]			20.eaf
00:02:43.843	163.843	00:02:44.358	164.358	Right [a48]	Trans [a29]			20.eaf
00:02:44.358	164.358	00:02:45.587	165.587	Right [a49]	Other-NBP [a30]			20.eaf
00:02:45.587	165.587	00:02:46.842	166.842		Trans [a31]			20.eaf
00:02:46.842	166.842	00:02:48.469	168.469		Other-NBP [a32]			20.eaf
00:02:48.469	168.469	00:02:48.946	168.946		Step Out [a33]			20.eaf
00:00:45.889	45.889	00:00:47.638	47.638		Difficult In [a1]			22.eaf
00:00:47.638	47.638	00:00:48.510	48.51		Jump In [a2]			22.eaf
00:00:48.510	48.51	00:00:49.065	49.065	Right [a29]	Trans [a3]			22.eaf
00:00:49.065	49.065	00:00:51.292	51.292	Right [a30]	CU [a4]			22.eaf
00:00:51.292	51.292	00:00:52.723	52.723		Trans [a5]			22.eaf
00:00:52.723	52.723	00:00:54.553	54.553	Right [a31]	CS [a6]			22.eaf
00:00:54.553	54.553	00:00:57.058	57.058	Right [a32]	CF [a7]	CCW [a42]		22.eaf
00:00:57.058	57.058	00:00:58.690	58.69		Step Out [a8]			22.eaf
00:01:31.132	91.132	00:01:32.012	92.012		Step In [a9]			22.eaf
00:01:32.012	92.012	00:01:36.690	96.69	Right [a33]	BS [a10]			22.eaf
00:01:36.690	96.69	00:01:37.770	97.77		CP [a11]			22.eaf
00:01:37.770	97.77	00:01:38.490	98.49	Left [a34]	Trans [a12]			22.eaf
00:01:38.490	98.49	00:01:40.330	100.33	Left [a35]	SS [a13]			22.eaf
00:01:40.330	100.33	00:01:40.650	100.65		Trans [a14]			22.eaf
00:01:40.650	100.65	00:01:42.365	102.365	Left [a36]	SB [a15]			22.eaf
00:01:42.365	102.365	00:01:44.365	104.365		Step Out [a16]			22.eaf
00:02:35.550	155.55	00:02:38.328	158.328		Difficult In [a17]			22.eaf
00:02:38.328	158.328	00:02:40.747	160.747	Left [a37]	BC [a18]			22.eaf
00:02:40.747	160.747	00:02:41.695	161.695		Trans [a19]			22.eaf
00:02:41.695	161.695	00:02:43.279	163.279	Left [a38]	UF [a20]			22.eaf
00:02:43.279	163.279	00:02:43.913	163.913		CP [a21]			22.eaf
00:02:43.913	163.913	00:02:44.150	164.15	Right [a39]	Trans [a22]			22.eaf
00:02:44.150	164.15	00:02:45.335	165.335	Right [a40]	BS [a23]			22.eaf
00:02:45.335	165.335	00:02:45.929	165.929		Trans [a24]			22.eaf
00:02:45.929	165.929	00:02:47.157	167.157	Right [a41]	Other-NBP [a25]			22.eaf
00:02:47.157	167.157	00:02:48.230	168.23		Trans [a26]			22.eaf
00:02:48.230	168.23	00:02:49.100	169.1		US [a27]			22.eaf
00:02:49.100	169.1	00:02:50.172	170.172		Step Out [a28]			22.eaf
00:00:55.541	55.541	00:00:57.293	57.293		Difficult In [a1]			23.eaf
00:00:57.293	57.293	00:00:57.928	57.928		Jump In [a2]			23.eaf
00:00:57.928	57.928	00:00:58.288	58.288	Right [a31]	Trans [a3]			23.eaf
00:00:58.288	58.288	00:01:00.077	60.077	Right [a32]	BC [a4]		Outside [a44]	23.eaf
00:01:00.077	60.077	00:01:02.223	62.223	Right [a33]	BC [a5]		Inside [a45]	23.eaf
00:01:02.223	62.223	00:01:03.538	63.538		Trans [a6]			23.eaf
00:01:03.538	63.538	00:01:06.011	66.011	Right [a34]	CF [a7]			23.eaf
00:01:06.011	66.011	00:01:07.451	67.451		Step Out [a8]			23.eaf
00:01:29.792	89.792	00:01:31.192	91.192		Difficult In [a9]			23.eaf
00:01:31.192	91.192	00:01:31.745	91.745		Trans [a10]			23.eaf
00:01:31.745	91.745	00:01:32.655	92.655	Right [a35]	BS [a11]			23.eaf
00:01:32.655	92.655	00:01:34.330	94.33	Right [a36]	SF [a12]			23.eaf
00:01:34.330	94.33	00:01:35.249	95.249		CP [a13]			23.eaf
00:01:35.249	95.249	00:01:36.009	96.009	Left [a37]	Trans [a14]			23.eaf
00:01:36.009	96.009	00:01:37.488	97.488	Left [a38]	SS [a15]			23.eaf
00:01:37.488	97.488	00:01:38.168	98.168		Trans [a16]			23.eaf
00:01:38.168	98.168	00:01:40.408	100.408	Left [a39]	SB [a17]			23.eaf
00:01:40.408	100.408	00:01:41.168	101.168		Step Out [a18]			23.eaf
00:01:44.159	104.159	00:01:44.959	104.959		Step In [a19]			23.eaf
00:01:44.959	104.959	00:01:45.599	105.599		Trans [a20]			23.eaf
00:01:45.599	105.599	00:01:46.996	106.996	Left [a40]	UF [a21]			23.eaf
00:01:46.996	106.996	00:01:47.589	107.589		Trans [a22]			23.eaf
00:01:47.589	107.589	00:01:48.945	108.945	Left [a41]	Other-NBP [a23]			23.eaf
00:01:48.945	108.945	00:01:49.705	109.705		CP [a24]			23.eaf
00:01:49.705	109.705	00:01:51.938	111.938	Right [a42]	BC [a25]			23.eaf
00:01:51.938	111.938	00:01:52.858	112.858		Trans [a26]			23.eaf
00:01:52.858	112.858	00:01:54.978	114.978	Right [a43]	BS [a27]			23.eaf
00:01:54.978	114.978	00:01:55.738	115.738		Trans [a28]			23.eaf
00:01:55.738	115.738	00:01:57.175	117.175		US [a29]			23.eaf
00:01:57.175	117.175	00:01:57.895	117.895		Step Out [a30]			23.eaf

00:01:02.940	62.94	00:01:04.683	64.683		Difficult In [a1]			13.eaf
00:01:04.683	64.683	00:01:05.236	65.236		Jump In [a2]			13.eaf
00:01:05.236	65.236	00:01:07.996	67.996	Right [a32]	BU [a3]		Outside [a43]	13.eaf
00:01:07.996	67.996	00:01:11.230	71.23	Right [a33]	CU [a4]		Inside [a44]	13.eaf
00:01:11.230	71.23	00:01:11.990	71.99		Trans [a5]			13.eaf
00:01:11.990	71.99	00:01:13.860	73.86	Right [a34]	CF [a6]			13.eaf
00:01:13.860	73.86	00:01:14.860	74.86		Step Out [a7]			13.eaf
00:01:44.416	104.416	00:01:46.486	106.486		Difficult In [a8]			13.eaf
00:01:46.486	106.486	00:01:47.046	107.046		Trans [a9]			13.eaf
00:01:47.046	107.046	00:01:49.003	109.003	Right [a35]	BC [a10]			13.eaf
00:01:49.003	109.003	00:01:50.365	110.365		Trans [a11]			13.eaf
